date	size'/'remotesize	flags(request:Update,Range state:File response:Modified,Chunked,gZipped)	statuscode	status ('servermsg')	MIME	Etag|Date	URL	localfile	(from URL)
17:58:22	4167/4167	---MCZ	200	added ('OK')	text/html	date:Tue,%2022%20May%202018%2014:07:17%20GMT	https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/	C:/My%20Web%20Sites/Projet-IHM/demos.creative-tim.com/light-bootstrap-dashboard-pro-react/index.html	(from )
17:58:22	5249/5249	---MCZ	404	error ('Not%20Found')	text/html	date:Mon,%2025%20Mar%202019%2016:58:23%20GMT	https://demos.creative-tim.com/robots.txt		(from )
17:58:23	356/356	---M-Z	200	added ('OK')	application/json	etag:W/%225b042415-164%22	https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/manifest.json	C:/My%20Web%20Sites/Projet-IHM/demos.creative-tim.com/light-bootstrap-dashboard-pro-react/manifest.json	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/)
17:58:23	1150/1150	---MCZ	200	added ('OK')	image/vnd.microsoft.icon	etag:W/%225b042415-47e%22	https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/favicon.ico	C:/My%20Web%20Sites/Projet-IHM/demos.creative-tim.com/light-bootstrap-dashboard-pro-react/favicon.ico	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/)
17:58:23	2446/2446	---M--	200	added ('OK')	image/png	etag:%225b042415-98e%22	https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/apple-icon.png	C:/My%20Web%20Sites/Projet-IHM/demos.creative-tim.com/light-bootstrap-dashboard-pro-react/apple-icon.png	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/)
17:58:24	15905/15905	---M--	200	added ('OK')	image/jpeg	etag:%22c4dfd945d6f823a7d241232fb4a2028f%22	https://s3.amazonaws.com/creativetim_bucket/products/66/thumb/opt_lbdp_react_thumbnail.jpg	C:/My%20Web%20Sites/Projet-IHM/s3.amazonaws.com/creativetim_bucket/products/66/thumb/opt_lbdp_react_thumbnail.jpg	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/)
17:58:25	31000/31000	---M-Z	200	added ('OK')	text/css	etag:%221518903977%22	http://maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	C:/My%20Web%20Sites/Projet-IHM/maxcdn.bootstrapcdn.com/font-awesome/latest/css/font-awesome.min.css	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/)
17:58:25	57318/57318	---MC-	200	added ('OK')	application/javascript	date:Fri,%2022%20Mar%202019%2023:15:01%20GMT	https://www.googletagmanager.com/gtm.js?id=GTM-NKDMSK6	C:/My%20Web%20Sites/Projet-IHM/www.googletagmanager.com/gtm26b6.js	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/)
17:58:25	360764/360764	---M-Z	200	added ('OK')	text/css	etag:W/%225b042415-5813c%22	https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/css/main.df256993.css	C:/My%20Web%20Sites/Projet-IHM/demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/css/main.df256993.css	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/)
17:58:40	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225b042416-4e9f%22	https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/media/glyphicons-halflings-regular.f4769f9b.eot	C:/My%20Web%20Sites/Projet-IHM/demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/media/glyphicons-halflings-regular.f4769f9b.eot	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/css/main.df256993.css)
17:58:41	20127/20127	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225b042416-4e9f%22	https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/media/glyphicons-halflings-regular.f4769f9b.eot?	C:/My%20Web%20Sites/Projet-IHM/demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/media/glyphicons-halflings-regular.f4769f9bd41d.eot	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/css/main.df256993.css)
17:58:41	18028/18028	---M--	200	added ('OK')	font/woff2	etag:%225b042416-466c%22	https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/media/glyphicons-halflings-regular.448c34a5.woff2	C:/My%20Web%20Sites/Projet-IHM/demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/media/glyphicons-halflings-regular.448c34a5.woff2	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/css/main.df256993.css)
17:58:42	23424/23424	---M--	200	added ('OK')	font/woff	etag:%225b042416-5b80%22	https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/media/glyphicons-halflings-regular.fa277232.woff	C:/My%20Web%20Sites/Projet-IHM/demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/media/glyphicons-halflings-regular.fa277232.woff	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/css/main.df256993.css)
17:58:42	45404/45404	---MCZ	200	added ('OK')	font/ttf	etag:W/%225b042416-b15c%22	https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/media/glyphicons-halflings-regular.e18bbf61.ttf	C:/My%20Web%20Sites/Projet-IHM/demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/media/glyphicons-halflings-regular.e18bbf61.ttf	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/css/main.df256993.css)
17:58:43	108738/108738	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225b042416-1a8c2%22	https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/media/glyphicons-halflings-regular.89889688.svg	C:/My%20Web%20Sites/Projet-IHM/demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/media/glyphicons-halflings-regular.89889688.svg	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/css/main.df256993.css)
17:58:43	58680/58680	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225b042416-e538%22	https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/media/Pe-icon-7-stroke.71394c0c.eot	C:/My%20Web%20Sites/Projet-IHM/demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/media/Pe-icon-7-stroke.71394c0c.eot	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/css/main.df256993.css)
17:58:44	58680/58680	---M-Z	200	added ('OK')	application/vnd.ms-fontobject	etag:W/%225b042416-e538%22	https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/media/Pe-icon-7-stroke.71394c0c.eot?	C:/My%20Web%20Sites/Projet-IHM/demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/media/Pe-icon-7-stroke.71394c0cd41d.eot	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/css/main.df256993.css)
17:58:45	3546359/3546359	---M-Z	200	added ('OK')	application/javascript	etag:W/%225b042415-361cf7%22	https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/js/main.b5a6bff9.js	C:/My%20Web%20Sites/Projet-IHM/demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/js/main.b5a6bff9.js	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/)
17:58:45	58556/58556	---M--	200	added ('OK')	font/woff	etag:%225b042416-e4bc%22	https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/media/Pe-icon-7-stroke.b38ef310.woff	C:/My%20Web%20Sites/Projet-IHM/demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/media/Pe-icon-7-stroke.b38ef310.woff	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/css/main.df256993.css)
17:58:45	58480/58480	---MCZ	200	added ('OK')	font/ttf	etag:W/%225b042416-e470%22	https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/media/Pe-icon-7-stroke.01798bc1.ttf	C:/My%20Web%20Sites/Projet-IHM/demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/media/Pe-icon-7-stroke.01798bc1.ttf	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/css/main.df256993.css)
17:58:52	164020/164020	---M-Z	200	added ('OK')	image/svg+xml	etag:W/%225b042416-280b4%22	https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/media/Pe-icon-7-stroke.c45f7de0.svg	C:/My%20Web%20Sites/Projet-IHM/demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/media/Pe-icon-7-stroke.c45f7de0.svg	(from https://demos.creative-tim.com/light-bootstrap-dashboard-pro-react/static/css/main.df256993.css)
